University Category (N),Full stack: mandate + tool + linked,Mandate + tool specified,Mandate + linked-to-pass,Mandate only,No mandatory detection,Total
Comprehensive (N=45),3  (6.7%),2 (4.4%),0 (0.0%),0 (0.0%),40  (88.9%),45 (100.0%)
Science & Engineering (N=40),2  (5.0%),0 (0.0%),0 (0.0%),0 (0.0%),38  (95.0%),40 (100.0%)
Normal (N=11),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),11 (100.0%),11 (100.0%)
Finance & Economics (N=7),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),7 (100.0%),7 (100.0%)
Medical (N=12),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),12 (100.0%),12 (100.0%)
TCM (N=2),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (100.0%),2 (100.0%)
Agricultural (N=5),1 (20.0%),0 (0.0%),0 (0.0%),0 (0.0%),4  (80.0%),5 (100.0%)
Forestry (N=2),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (100.0%),2 (100.0%)
Language (N=3),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (100.0%),3 (100.0%)
Ethnic (N=1),0  (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (100.0%),1 (100.0%)
Total Sample (N=128),6 (4.7%),2 (1.6%),0 (0.0%),0 (0.0%),120 (93.8%),128 (100.0%)
