id,univ_name,rank_usnews_2025,country_region,A_D1,B_D1,A_D2,B_D2,A_D3,B_D3,A_D4,B_D4
1,Harvard University,1,USA,1,1,1,1,1,1,1,1
2,Massachusetts Institute of Technology (MIT),2,USA,1,1,1,1,1,1,1,1
3,Stanford University,3,USA,1,1,1,1,1,1,1,1
4,University of Oxford,4,UK,1,1,1,1,1,1,1,1
5,University of Cambridge,5,UK,1,1,1,1,1,1,1,1
6,University of California Berkeley,6,USA,1,1,1,1,1,1,1,1
7,University College London,7,UK,1,1,1,1,1,1,1,1
8,University of Washington Seattle,8,USA,1,1,1,1,1,1,1,1
9,Yale University,9,USA,1,1,1,1,1,1,1,1
10,Columbia University,10,USA,1,1,1,1,1,1,1,1
11,Imperial College London,11,UK,1,1,1,1,1,1,1,1
12,University of California Los Angeles,13,USA,1,1,1,1,1,1,1,1
13,Johns Hopkins University,14,USA,1,1,1,1,1,1,1,1
14,University of Pennsylvania,15,USA,1,1,1,1,1,1,1,1
15,Cornell University,16,USA,1,1,1,1,1,1,1,1
16,Princeton University,17,USA,1,1,1,1,1,1,1,1
17,University of California San Francisco,18,USA,1,1,1,1,1,1,1,1
18,University of Toronto,19,Canada,1,1,1,1,1,1,1,1
19,National University of Singapore,20,Singapore,1,1,1,1,1,1,1,1
20,University of California San Diego,21,USA,1,1,1,1,1,1,1,1
21,University of Michigan,22,USA,1,1,1,1,1,1,1,1
22,California Institute of Technology,23,USA,1,1,1,1,1,1,1,1
23,Northwestern University,24,USA,1,1,1,1,1,1,1,1
24,University of Chicago,26,USA,1,1,1,1,1,1,1,1
25,Duke University,27,USA,1,1,1,1,1,1,1,1
26,Nanyang Technological University,28,Singapore,1,1,1,1,1,1,1,1
27,University of Sydney,29,Australia,1,1,1,1,1,1,1,1
28,University of Melbourne,30,Australia,1,1,1,1,1,1,1,1
29,Washington University (WUSTL),31,USA,1,1,1,1,1,1,1,1
30,New York University,32,USA,1,1,1,1,1,1,1,1
31,University of Amsterdam,33,Netherlands,1,1,1,1,1,1,1,1
32,University of New South Wales Sydney,34,Australia,1,1,1,1,1,1,1,1
33,ETH Zurich,35,Switzerland,1,1,1,1,1,1,1,1
34,King's College London,36,UK,1,1,1,1,1,1,1,1
35,Chinese University of Hong Kong,37,HK,1,1,1,1,1,1,1,1
36,Monash University,38,Australia,1,1,1,1,1,1,1,1
37,University of Edinburgh,39,UK,1,1,1,1,1,1,1,1
38,Icahn School of Medicine at Mount Sinai,40,USA,1,1,1,1,1,1,1,1
39,University of British Columbia,41,Canada,1,1,1,1,1,1,1,1
40,University of Copenhagen,42,Denmark,1,1,1,1,1,1,1,1
41,University of Queensland,43,Australia,1,1,1,1,1,1,1,1
42,University of Hong Kong,44,HK,1,1,1,1,1,1,1,1
43,Humboldt University of Berlin,47,Germany,1,1,1,1,1,1,1,1
44,Universite Paris Cite,48,France,0,1,1,1,1,1,0,1
45,Utrecht University,49,Netherlands,1,1,1,1,1,1,1,1
46,KU Leuven,50,Belgium,1,1,1,1,1,1,1,1
47,University of North Carolina Chapel Hill,51,USA,1,1,1,1,1,1,1,1
48,Karolinska Institutet,52,Sweden,1,1,1,1,1,1,1,1
49,University of Pittsburgh,53,USA,1,1,1,1,1,1,1,1
50,Leiden University,56,Netherlands,1,1,1,1,1,1,1,1
51,University of Munich,57,Germany,1,1,1,1,1,1,1,1
52,Hong Kong Polytechnic University,58,HK,1,1,1,1,1,1,1,1
53,Free University of Berlin,59,Germany,1,1,1,1,1,1,1,1
54,Ruprecht Karls University Heidelberg,60,Germany,1,1,1,1,1,1,1,1
55,University of Zurich,61,Switzerland,1,1,1,1,1,1,1,1
56,McGill University,62,Canada,1,1,1,1,1,1,1,1
57,Sorbonne Universite,63,France,1,1,1,1,1,1,1,1
58,University of Glasgow,64,UK,1,1,1,1,1,1,1,1
59,University of Texas Austin,65,USA,1,1,1,1,1,1,1,1
60,Ohio State University,66,USA,1,1,1,1,1,1,1,1
61,Vanderbilt University,67,USA,1,1,1,1,1,1,1,1
62,University of Manchester,68,UK,1,1,1,1,1,1,1,1
63,Emory University,69,USA,1,1,1,1,1,1,1,1
64,University of Maryland College Park,72,USA,1,1,1,1,1,1,1,1
65,University of Minnesota Twin Cities,73,USA,1,1,1,1,1,1,1,1
66,University of Wisconsin Madison,74,USA,1,1,1,1,1,1,1,1
67,University of Groningen,75,Netherlands,1,1,1,1,1,1,1,1
68,Erasmus University Rotterdam,76,Netherlands,1,1,1,1,1,1,1,1
69,University of Southern California,77,USA,1,1,1,1,1,1,1,1
70,Universite Paris Saclay,78,France,1,1,1,1,1,1,1,1
71,Georgia Institute of Technology,79,USA,1,0,1,1,1,1,1,1
72,Technical University of Munich,80,Germany,1,1,1,1,1,1,1,1
73,Vrije Universiteit Amsterdam,81,Netherlands,1,1,1,1,1,1,1,1
74,University of Barcelona,82,Spain,1,1,1,1,1,1,1,1
75,University of Technology Sydney,83,Australia,1,1,1,1,1,1,1,1
76,University of Tokyo,84,Japan,1,1,1,1,1,1,1,1
77,Australian National University,86,Australia,0,0,0,0,1,1,1,1
78,Boston University,87,USA,1,1,1,1,1,1,1,1
79,Ecole Polytechnique Federale de Lausanne,88,Switzerland,1,1,1,1,1,1,1,1
80,Pennsylvania State University,92,USA,0,1,1,1,1,1,1,1
81,University of California Santa Barbara,93,USA,1,1,1,1,1,1,1,1
82,Queen Mary University London,94,UK,1,1,1,1,1,1,1,1
83,University of Birmingham,95,UK,1,1,1,1,1,1,1,1
84,University of California Davis,96,USA,1,1,1,1,1,1,1,1
85,University of California Irvine,97,USA,1,1,1,1,1,1,1,1
86,University of Western Australia,98,Australia,1,1,1,1,1,1,1,1
87,University of Adelaide,99,Australia,1,1,1,1,1,1,1,1
88,University of Oslo,100,Norway,1,1,1,0,1,1,1,1
