"Inst_type","n_total","n_adopters","adoption_rate"
"science and engineering universities",40,12,0.3
"comprehensive universities",45,10,0.222222222222222
"normal (teacher education) universities",11,2,0.181818181818182
"agricultural universities",5,1,0.2
"finance and economics universities",7,1,0.142857142857143
"forestry universities",2,1,0.5
"medical universities",12,1,0.0833333333333333
"traditional Chinese medicine universities",2,1,0.5
"ethnic/minority university",1,0,0
"language and culture universities",3,0,0
