"Inst_type","n_total","n_adopters","proportion","ci_low","ci_high","proportion_pct","ci_low_pct","ci_high_pct"
"forestry universities",2,1,0.5,0.0125791170934251,0.987420882906575,50,1.25791170934251,98.7420882906575
"traditional Chinese medicine universities",2,1,0.5,0.0125791170934251,0.987420882906575,50,1.25791170934251,98.7420882906575
"science and engineering universities",40,12,0.3,0.165627204393236,0.465316285254123,30,16.5627204393236,46.5316285254123
"comprehensive universities",45,10,0.222222222222222,0.112045938877135,0.370887552599488,22.2222222222222,11.2045938877135,37.0887552599488
"agricultural universities",5,1,0.2,0.00505076337946806,0.716417936118089,20,0.505076337946806,71.6417936118089
"normal (teacher education) universities",11,2,0.181818181818182,0.0228311982999597,0.517755852360173,18.1818181818182,2.28311982999597,51.7755852360173
"finance and economics universities",7,1,0.142857142857143,0.00361029686190059,0.578723197043195,14.2857142857143,0.361029686190059,57.8723197043195
"medical universities",12,1,0.0833333333333333,0.00210759323186023,0.384796165150944,8.33333333333333,0.210759323186023,38.4796165150944
"language and culture universities",3,0,0,0,0.707598226178713,0,0,70.7598226178713
"ethnic/minority university",1,0,0,0,0.975,0,0,97.5
