"Safeguard aligned to Box 1","All adopters (n=29)","Mandate only (no tool, no linkage) (n=8)","Mandate + linkage (no tool specified) (n=13)","Mandate + tool (no linkage) (n=2)","Full stack (tool + linkage) (n=6)"
"Mandatory human review of flagged work (Box 1.2)","1
(3.4%)","0
(0.0%)","0
(0.0%)","0
(0.0%)","1
(16.7%)"
"Appeal / right of reply (Box 1.2 / 1.7)","0
(0.0%)","0
(0.0%)","0
(0.0%)","0
(0.0%)","0
(0.0%)"
"Tool / threshold / report transparency recorded in student file (Box 1.3)","7
(24.1%)","1
(12.5%)","3
(23.1%)","1
(50.0%)","2
(33.3%)"
"Explicit ""not sole evidence"" / reference-only / non-dispositive statement (Box 1.1)","3
(10.3%)","1
(12.5%)","0
(0.0%)","2
(100.0%)","0
(0.0%)"
"Error/limitation disclosure or link to limitations note (Box 1.4)","1
(3.4%)","0
(0.0%)","0
(0.0%)","1
(50.0%)","0
(0.0%)"
"Safeguard coverage score, median (IQR)dagger","0 (0-1)","0 (0-0.25)","0 (0-0)","2 (2-2)","0.5 (0-1)"
"Policies with >=1 safeguard (score >=1)","10
(34.5%)","2
(25.0%)","3
(23.1%)","2
(100.0%)","3
(50.0%)"
"Policies with >=2 safeguards (score >=2)","2
(6.9%)","0
(0.0%)","0
(0.0%)","2
(100.0%)","0
(0.0%)"
